序号,3、您在实习/实践中是否产出过以下材料?（请根据实际产出选择，可多选，最多3项）__其他(请注明):__〖产品宣传册〗,3、您在实习/实践中是否产出过以下材料?（请根据实际产出选择，可多选，最多3项）__其他(请注明):__〖审计报告〗,3、您在实习/实践中是否产出过以下材料?（请根据实际产出选择，可多选，最多3项）__其他(请注明):__〖未实习〗,3、您在实习/实践中是否产出过以下材料?（请根据实际产出选择，可多选，最多3项）__其他(请注明):__〖研报〗,3、您在实习/实践中是否产出过以下材料?（请根据实际产出选择，可多选，最多3项）__其他(请注明):__〖竞争对手分析ppt〗,3、您在实习/实践中是否产出过以下材料?（请根据实际产出选择，可多选，最多3项）__商业计划书/营销方案,3、您在实习/实践中是否产出过以下材料?（请根据实际产出选择，可多选，最多3项）__客户案例分析,3、您在实习/实践中是否产出过以下材料?（请根据实际产出选择，可多选，最多3项）__尚未产出任何材料,3、您在实习/实践中是否产出过以下材料?（请根据实际产出选择，可多选，最多3项）__市场调研报告,3、您在实习/实践中是否产出过以下材料?（请根据实际产出选择，可多选，最多3项）__数据分析报告,3、您在实习/实践中是否产出过以下材料?（请根据实际产出选择，可多选，最多3项）__项目实施总结,7、 您选择上述类型的主要原因是:(最多选3项)__与我的实习/工作内容直接相关,7、 您选择上述类型的主要原因是:(最多选3项)__对未来就业有帮助,7、 您选择上述类型的主要原因是:(最多选3项)__工作量相对可控,7、 您选择上述类型的主要原因是:(最多选3项)__更能展示我的实践能力,7、 您选择上述类型的主要原因是:(最多选3项)__相对容易获得数据和企业支持,"7、 您选择上述类型的主要原因是:(最多选3项)__能真正解决实际问题,有成就感",8、 您认为以下哪些实践成果不适合作为学位论文的替代形式?(多选，最多选3个)__企业内部保密性过强无法公开的材料,8、 您认为以下哪些实践成果不适合作为学位论文的替代形式?(多选，最多选3个)__其他(请注明):〖企业数据不能公开〗,8、 您认为以下哪些实践成果不适合作为学位论文的替代形式?(多选，最多选3个)__团队合作项目中个人贡献难以界定的成果,8、 您认为以下哪些实践成果不适合作为学位论文的替代形式?(多选，最多选3个)__纯粹的实习日志或工作总结,8、 您认为以下哪些实践成果不适合作为学位论文的替代形式?(多选，最多选3个)__缺乏数据支撑的主观建议  简单的文献综述类报告,11、您目前最担心的问题是:(最多选3项)__不清楚实践成果的具体质量要求,11、您目前最担心的问题是:(最多选3项)__不知道什么类型的实践成果能被学院认可,11、您目前最担心的问题是:(最多选3项)__不知道如何平衡学术性与实践性,11、您目前最担心的问题是:(最多选3项)__企业不愿意配合或提供真实数据,11、您目前最担心的问题是:(最多选3项)__担心做了企业项目最后论文评审不通过,11、您目前最担心的问题是:(最多选3项)__担心实践成果比写论文更难/工作量更大,11、您目前最担心的问题是:(最多选3项)__缺乏实践成果撰写的模板和范例,"12、您希望学院在制定""实践成果分类标准""时,应重点考虑哪些因素?(最多选3项)__与MIB不同专业方向(跨境电商、国际投资等)的匹配度","12、您希望学院在制定""实践成果分类标准""时,应重点考虑哪些因素?(最多选3项)__与学生实习岗位和职业规划的相关性","12、您希望学院在制定""实践成果分类标准""时,应重点考虑哪些因素?(最多选3项)__各类成果的质量标准清晰可操作","12、您希望学院在制定""实践成果分类标准""时,应重点考虑哪些因素?(最多选3项)__成果类型的多样性和灵活性","12、您希望学院在制定""实践成果分类标准""时,应重点考虑哪些因素?(最多选3项)__提供不同类型成果的模板和优秀范例","12、您希望学院在制定""实践成果分类标准""时,应重点考虑哪些因素?(最多选3项)__明确各类成果的最低字数/工作量要求",13、您希望学院提供哪些支持工具?(多选，最多选3个)__不同类型实践成果的撰写模板,13、您希望学院提供哪些支持工具?(多选，最多选3个)__企业项目对接平台,13、您希望学院提供哪些支持工具?(多选，最多选3个)__优秀实践成果案例库,13、您希望学院提供哪些支持工具?(多选，最多选3个)__实践成果撰写工作坊/专题培训,13、您希望学院提供哪些支持工具?(多选，最多选3个)__实践成果评价指标细则和评分表,13、您希望学院提供哪些支持工具?(多选，最多选3个)__导师指导手册
2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
17.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
