题号,题型,指标名称,选项或维度,统计值,样本数,选择率,排序值,备注
Q1,单选题,频数,研一,126.0,160,0.7875,126.0,基于非空作答样本
Q1,单选题,频数,研二,30.0,160,0.1875,30.0,基于非空作答样本
Q1,单选题,频数,延期,4.0,160,0.025,4.0,基于非空作答样本
Q2,单选题,频数,"有,且持续3个月以上",71.0,160,0.44375,71.0,基于非空作答样本
Q2,单选题,频数,"有,但不足3个月",56.0,160,0.35,56.0,基于非空作答样本
Q2,单选题,频数,尚未开始实习,33.0,160,0.20625,33.0,基于非空作答样本
Q4,单选题,频数,听说过但不清楚具体内容,56.0,160,0.35,56.0,基于非空作答样本
Q4,单选题,频数,完全不了解,51.0,160,0.31875,51.0,基于非空作答样本
Q4,单选题,频数,有所了解,46.0,160,0.2875,46.0,基于非空作答样本
Q4,单选题,频数,非常了解,7.0,160,0.04375,7.0,基于非空作答样本
Q5,单选题,频数,不太清楚,65.0,160,0.40625,65.0,基于非空作答样本
Q5,单选题,频数,基本清楚,56.0,160,0.35,56.0,基于非空作答样本
Q5,单选题,频数,完全不清楚,27.0,160,0.16875,27.0,基于非空作答样本
Q5,单选题,频数,非常清楚,12.0,160,0.075,12.0,基于非空作答样本
Q3,多选题,选择次数,尚未产出任何材料,78.0,160,0.4875,78.0,选择率分母为有效问卷数
Q3,多选题,选择次数,数据分析报告,32.0,160,0.2,32.0,选择率分母为有效问卷数
Q3,多选题,选择次数,商业计划书/营销方案,31.0,160,0.19375,31.0,选择率分母为有效问卷数
Q3,多选题,选择次数,市场调研报告,30.0,160,0.1875,30.0,选择率分母为有效问卷数
Q3,多选题,选择次数,项目实施总结,20.0,160,0.125,20.0,选择率分母为有效问卷数
Q3,多选题,选择次数,客户案例分析,13.0,160,0.08125,13.0,选择率分母为有效问卷数
Q3,多选题,选择次数,其他(请注明):__〖产品宣传册〗,1.0,160,0.00625,1.0,选择率分母为有效问卷数
Q3,多选题,选择次数,其他(请注明):__〖未实习〗,1.0,160,0.00625,1.0,选择率分母为有效问卷数
Q3,多选题,选择次数,其他(请注明):__〖审计报告〗,1.0,160,0.00625,1.0,选择率分母为有效问卷数
Q3,多选题,选择次数,其他(请注明):__〖研报〗,1.0,160,0.00625,1.0,选择率分母为有效问卷数
Q3,多选题,选择次数,其他(请注明):__〖竞争对手分析ppt〗,1.0,160,0.00625,1.0,选择率分母为有效问卷数
Q7,多选题,选择次数,与我的实习/工作内容直接相关,107.0,160,0.66875,107.0,选择率分母为有效问卷数
Q7,多选题,选择次数,"能真正解决实际问题,有成就感",93.0,160,0.58125,93.0,选择率分母为有效问卷数
Q7,多选题,选择次数,相对容易获得数据和企业支持,69.0,160,0.43125,69.0,选择率分母为有效问卷数
Q7,多选题,选择次数,对未来就业有帮助,65.0,160,0.40625,65.0,选择率分母为有效问卷数
Q7,多选题,选择次数,更能展示我的实践能力,25.0,160,0.15625,25.0,选择率分母为有效问卷数
Q7,多选题,选择次数,工作量相对可控,14.0,160,0.0875,14.0,选择率分母为有效问卷数
Q8,多选题,选择次数,企业内部保密性过强无法公开的材料,108.0,160,0.675,108.0,选择率分母为有效问卷数
Q8,多选题,选择次数,缺乏数据支撑的主观建议  简单的文献综述类报告,91.0,160,0.56875,91.0,选择率分母为有效问卷数
Q8,多选题,选择次数,纯粹的实习日志或工作总结,76.0,160,0.475,76.0,选择率分母为有效问卷数
Q8,多选题,选择次数,团队合作项目中个人贡献难以界定的成果,48.0,160,0.3,48.0,选择率分母为有效问卷数
Q8,多选题,选择次数,其他(请注明):〖企业数据不能公开〗,1.0,160,0.00625,1.0,选择率分母为有效问卷数
Q11,多选题,选择次数,不知道什么类型的实践成果能被学院认可,99.0,160,0.61875,99.0,选择率分母为有效问卷数
Q11,多选题,选择次数,担心做了企业项目最后论文评审不通过,89.0,160,0.55625,89.0,选择率分母为有效问卷数
Q11,多选题,选择次数,不清楚实践成果的具体质量要求,67.0,160,0.41875,67.0,选择率分母为有效问卷数
Q11,多选题,选择次数,企业不愿意配合或提供真实数据,53.0,160,0.33125,53.0,选择率分母为有效问卷数
Q11,多选题,选择次数,缺乏实践成果撰写的模板和范例,49.0,160,0.30625,49.0,选择率分母为有效问卷数
Q11,多选题,选择次数,担心实践成果比写论文更难/工作量更大,31.0,160,0.19375,31.0,选择率分母为有效问卷数
Q11,多选题,选择次数,不知道如何平衡学术性与实践性,26.0,160,0.1625,26.0,选择率分母为有效问卷数
Q12,多选题,选择次数,与MIB不同专业方向(跨境电商、国际投资等)的匹配度,99.0,160,0.61875,99.0,选择率分母为有效问卷数
Q12,多选题,选择次数,与学生实习岗位和职业规划的相关性,92.0,160,0.575,92.0,选择率分母为有效问卷数
Q12,多选题,选择次数,成果类型的多样性和灵活性,76.0,160,0.475,76.0,选择率分母为有效问卷数
Q12,多选题,选择次数,各类成果的质量标准清晰可操作,57.0,160,0.35625,57.0,选择率分母为有效问卷数
Q12,多选题,选择次数,提供不同类型成果的模板和优秀范例,50.0,160,0.3125,50.0,选择率分母为有效问卷数
Q12,多选题,选择次数,明确各类成果的最低字数/工作量要求,25.0,160,0.15625,25.0,选择率分母为有效问卷数
Q13,多选题,选择次数,不同类型实践成果的撰写模板,101.0,160,0.63125,101.0,选择率分母为有效问卷数
Q13,多选题,选择次数,优秀实践成果案例库,94.0,160,0.5875,94.0,选择率分母为有效问卷数
Q13,多选题,选择次数,企业项目对接平台,91.0,160,0.56875,91.0,选择率分母为有效问卷数
Q13,多选题,选择次数,实践成果评价指标细则和评分表,79.0,160,0.49375,79.0,选择率分母为有效问卷数
Q13,多选题,选择次数,实践成果撰写工作坊/专题培训,31.0,160,0.19375,31.0,选择率分母为有效问卷数
Q13,多选题,选择次数,导师指导手册,8.0,160,0.05,8.0,选择率分母为有效问卷数
Q6,排序题,加权偏好得分,国际商务案例分析(基于真实企业编写教学案例),213.0,160,,213.0,"第1选=3分, 第2选=2分, 第3选=1分"
Q6,排序题,加权偏好得分,企业咨询报告(为企业提供市场分析、 战略建议等),164.0,160,,164.0,"第1选=3分, 第2选=2分, 第3选=1分"
Q6,排序题,加权偏好得分,市场调研报告(针对特定市场/行业的系统调研),162.0,160,,162.0,"第1选=3分, 第2选=2分, 第3选=1分"
Q6,排序题,加权偏好得分,项目实施总结(完整参与项目并形成复盘报告),104.0,160,,104.0,"第1选=3分, 第2选=2分, 第3选=1分"
Q6,排序题,加权偏好得分,商业方案设计(跨境电商方案、国际市场进入方案等),100.0,160,,100.0,"第1选=3分, 第2选=2分, 第3选=1分"
Q6,排序题,加权偏好得分,政策研究报告(针对国际贸易政策的应用研究),40.0,160,,40.0,"第1选=3分, 第2选=2分, 第3选=1分"
Q6,排序题,加权偏好得分,产品/服务创新方案(新产品开发、服务模式设计等),38.0,160,,38.0,"第1选=3分, 第2选=2分, 第3选=1分"
Q6,排序题,加权偏好得分,数字化解决方案(基于数据分析的商业智能报告),37.0,160,,37.0,"第1选=3分, 第2选=2分, 第3选=1分"
Q6,排序题,加权偏好得分,投资项目可行性研究报告（从风险到回报的全面分析决策）,37.0,160,,37.0,"第1选=3分, 第2选=2分, 第3选=1分"
Q9,李克特量表,均值,问题导向性,4.28125,160,,4.28125,量表范围1到5
Q9,李克特量表,均值,真实性,4.1875,160,,4.1875,量表范围1到5
